clientid;x;y
1;622.7715723;164.8576227
2;416.3572979;630.1936343
3;292.7350197;567.3332306
4;737.2112881;166.2256759
5;540.4753747;682.912298
6;535.4694924;318.4396612
7;640.3800497;870.8332213
8;235.7720749;359.0482026
9;481.8968836;661.491838
10;730.0327891;312.1778169
11;183.3786993;422.0253493
12;295.1818756;410.0569571
13;693.7604442;881.1313934
14;222.5000043;57.94376934
15;830.3121077;196.3103381
16;331.3019803;806.6080259
17;164.7264633;707.6048852
18;752.1178239;121.3859843
19;515.8927841;128.5299134
20;628.7899923;185.673128
21;484.0839375;760.1748846
22;921.9481363;422.4434696
23;487.6733483;342.4636199
24;190.1259794;473.1350349
25;561.7114368;269.782218
26;243.2843218;561.9609689
27;355.4345534;463.7595245
28;676.7206379;220.021036
29;199.7719377;423.7510773
30;623.4532532;281.5337313
31;352.3883926;13.86637485
32;947.6619628;42.85020131
33;552.5086923;221.9660785
34;611.4487107;3.103883004
35;495.3357182;376.2015581
36;557.4469967;366.4188151
37;384.5683469;216.8556588
38;301.1043764;73.60389975
39;250.2052017;371.4114601
40;829.9488029;665.1751562
41;956.8929075;505.5592977
42;592.2065772;719.1242526
43;542.6956718;427.3482181
44;98.54214331;570.0259803
45;159.5770386;468.4893217
46;144.5178394;43.42172295
47;366.3036516;400.6505979
48;163.5913682;601.9688322
49;893.255836;682.327144
50;788.8713307;247.7841176
51;876.1831819;365.8072044
52;301.6440563;889.0917506
53;530.1500045;307.1597694
54;269.9042341;416.1598686
55;778.3106616;59.29725985
56;821.1939498;108.5936682
57;542.0833623;303.7871747
58;297.5601238;118.6261945
59;209.4441706;383.9040859
60;450.715485;792.7990084
61;230.2657645;626.0466754
62;300.098416;41.14185911
63;647.3846902;866.2293367
64;257.4460082;500.959088
65;843.5527975;437.525592
66;931.4614943;590.7662399
67;600.9957282;905.1461813
68;765.1743882;253.1678667
69;673.1405241;986.4109226
70;316.9173825;952.5902833
71;863.9780431;118.4655164
72;52.9167423;225.5818897
73;986.3564659;6.663014691
74;440.2938071;19.69905282
75;282.8185323;626.7403751
76;851.0721062;624.5423833
77;841.7502055;666.9492442
78;910.166213;255.1383373
79;515.6138384;846.6652666
80;343.2610656;680.4416791
81;721.849123;455.7874644
82;525.2589594;785.16655
83;796.4240579;915.691975
84;463.0938795;872.4035158
85;219.8470891;326.1402405
86;629.7010109;747.593397
87;593.6044969;406.2131762
88;433.7295171;675.2271678
89;450.6895068;145.6617482
90;847.8368471;695.7203953
91;644.0173473;531.6324207
92;474.1763013;633.3661001
93;182.2667752;727.1927881
94;266.3150296;163.392454
95;512.2832269;172.7739295
