pclass;sex;age;survived
1;female;29;1
1;male;0.9167;1
1;female;2;0
1;male;30;0
1;female;25;0
1;male;48;1
1;female;63;1
1;male;39;0
1;female;53;1
1;male;71;0
1;male;47;0
1;female;18;1
1;female;24;1
1;female;26;1
1;male;80;1
1;male;;0
1;male;24;0
1;female;50;1
1;female;32;1
1;male;36;0
1;male;37;1
1;female;47;1
1;male;26;1
1;female;42;1
1;female;29;1
1;male;25;0
1;male;25;1
1;female;19;1
1;female;35;1
1;male;28;1
1;male;45;0
1;male;40;1
1;female;30;1
1;female;58;1
1;male;42;0
1;female;45;1
1;female;22;1
1;male;;1
1;male;41;0
1;male;48;0
1;male;;0
1;female;44;1
1;female;59;1
1;female;60;1
1;female;41;1
1;male;45;0
1;male;;0
1;male;42;1
1;female;53;1
1;male;36;1
1;female;58;1
1;male;33;0
1;male;28;0
1;male;17;0
1;male;11;1
1;female;14;1
1;male;36;1
1;female;36;1
1;male;49;0
1;female;;1
1;male;36;0
1;female;76;1
1;male;46;0
1;female;47;1
1;male;27;1
1;female;33;1
1;female;36;1
1;female;30;1
1;male;45;1
1;female;;1
1;male;;0
1;male;27;0
1;female;26;1
1;female;22;1
1;male;;0
1;male;47;0
1;female;39;1
1;male;37;0
1;female;64;1
1;female;55;1
1;male;;0
1;male;70;0
1;female;36;1
1;female;64;1
1;male;39;0
1;female;38;1
1;male;51;1
1;male;27;1
1;female;33;1
1;male;31;0
1;female;27;1
1;male;31;1
1;female;17;1
1;male;53;1
1;male;4;1
1;female;54;1
1;male;50;0
1;female;27;1
1;female;48;1
1;female;48;1
1;male;49;1
1;male;39;0
1;female;23;1
1;female;38;1
1;female;54;1
1;female;36;0
1;male;;0
1;female;;1
1;female;;1
1;male;36;1
1;male;30;0
1;female;24;1
1;female;28;1
1;female;23;1
1;male;19;0
1;male;64;0
1;female;60;1
1;female;30;1
1;male;;0
1;male;50;1
1;male;43;1
1;female;;1
1;female;22;1
1;male;60;1
1;female;48;1
1;male;;0
1;male;37;0
1;female;35;1
1;male;47;0
1;female;35;1
1;female;22;1
1;female;45;1
1;male;24;0
1;male;49;1
1;female;;1
1;male;71;0
1;male;53;1
1;female;19;1
1;male;38;0
1;female;58;1
1;male;23;1
1;female;45;1
1;male;46;0
1;male;25;1
1;female;25;1
1;male;48;1
1;female;49;1
1;male;;0
1;male;45;0
1;female;35;1
1;male;40;0
1;male;27;1
1;male;;1
1;female;24;1
1;male;55;0
1;female;52;1
1;male;42;0
1;male;;0
1;male;55;0
1;female;16;1
1;female;44;1
1;female;51;1
1;male;42;0
1;female;35;1
1;male;35;1
1;male;38;1
1;male;;0
1;female;35;1
1;female;38;1
1;female;50;0
1;male;49;1
1;male;46;0
1;male;50;0
1;male;32.5;0
1;male;58;0
1;male;41;0
1;female;;1
1;male;42;1
1;female;45;1
1;male;;0
1;female;39;1
1;female;49;1
1;female;30;1
1;male;35;1
1;male;;0
1;male;42;0
1;female;55;1
1;female;16;1
1;female;51;1
1;male;29;0
1;female;21;1
1;male;30;0
1;female;58;1
1;female;15;1
1;male;30;0
1;female;16;1
1;male;;1
1;male;19;0
1;female;18;1
1;female;24;1
1;male;46;0
1;male;54;0
1;male;36;1
1;male;28;0
1;female;;1
1;male;65;0
1;male;44;0
1;female;33;1
1;female;37;1
1;male;30;1
1;male;55;0
1;male;47;0
1;male;37;0
1;female;31;1
1;female;23;1
1;male;58;0
1;female;19;1
1;male;64;0
1;female;39;1
1;male;;1
1;female;22;1
1;male;65;0
1;male;28.5;0
1;male;;0
1;male;45.5;0
1;male;23;0
1;male;29;0
1;female;22;1
1;male;18;0
1;female;17;1
1;female;30;1
1;male;52;1
1;male;47;0
1;female;56;1
1;male;38;0
1;male;;1
1;male;22;0
1;male;;0
1;female;43;1
1;male;31;0
1;male;45;1
1;male;;0
1;female;33;1
1;male;46;0
1;male;36;0
1;female;33;1
1;male;55;0
1;female;54;1
1;male;33;0
1;male;13;1
1;female;18;1
1;female;21;1
1;male;61;0
1;female;48;1
1;male;;1
1;female;24;1
1;male;;1
1;female;35;1
1;female;30;1
1;male;34;1
1;female;40;1
1;male;35;1
1;male;50;0
1;female;39;1
1;male;56;1
1;male;28;1
1;male;56;0
1;male;56;0
1;male;24;0
1;male;;0
1;female;18;1
1;male;24;1
1;female;23;1
1;male;6;1
1;male;45;1
1;female;40;1
1;male;57;0
1;female;;1
1;male;32;1
1;male;62;0
1;male;54;1
1;female;43;1
1;female;52;1
1;male;;0
1;female;62;1
1;male;67;0
1;female;63;0
1;male;61;0
1;female;48;1
1;female;18;1
1;male;52;0
1;female;39;1
1;male;48;1
1;female;;1
1;male;49;0
1;male;17;1
1;female;39;1
1;female;;1
1;male;31;1
1;male;40;0
1;male;61;0
1;male;47;0
1;female;35;1
1;male;64;0
1;female;60;1
1;male;60;0
1;male;54;0
1;male;21;0
1;female;55;1
1;female;31;1
1;male;57;0
1;female;45;1
1;male;50;0
1;male;27;0
1;female;50;1
1;female;21;1
1;male;51;0
1;male;21;1
1;male;;0
1;female;31;1
1;male;;1
1;male;62;0
1;female;36;1
2;male;30;0
2;female;28;1
2;male;30;0
2;male;18;0
2;male;25;0
2;male;34;0
2;female;36;1
2;male;57;0
2;male;18;0
2;male;23;0
2;female;36;1
2;male;28;0
2;male;51;0
2;male;32;1
2;female;19;1
2;male;28;0
2;male;1;1
2;female;4;1
2;female;12;1
2;female;36;1
2;male;34;1
2;female;19;1
2;male;23;0
2;male;26;0
